	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock
ADAM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	1101	457	452	13	24	173	624	8	1355	0	100	223	413	42	7	45	5	748	0	15
ADAM9	21	16	5	0	0	2	13	0	10	0	7	10	16	0	0	2	0	49	0	4
ADAMDEC1	6	5	1	0	0	0	8	0	15	0	5	12	7	4	0	0	0	21	0	0
ADAMTS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
ADAMTS10	20	7	4	0	0	3	0	0	20	0	3	5	2	7	0	1	0	30	0	1
ADAMTS12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS13	21	8	8	0	0	9	30	0	29	0	4	5	5	0	0	0	1	18	0	3
ADAMTS14	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ADAMTS15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS16	0	1	0	0	0	0	3	0	0	1	0	1	0	0	0	5	0	0	0	0
ADAMTS17	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0
ADAMTS18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ADAMTS19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS2	4	2	4	0	0	2	0	2	0	2	0	2	2	3	0	2	0	2	2	1
ADAMTS20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ADAMTS4	5	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	7	0	0
ADAMTS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS6	36	17	24	0	4	24	44	1	12	27	10	18	16	7	0	0	0	25	37	7
ADAMTS7	54	16	32	0	6	12	47	0	82	0	15	26	17	8	0	0	3	69	0	19
ADAMTS7P1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	7	0	0
ADAMTS7P3	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
ADAMTS7P4	42	18	9	6	0	5	34	0	51	0	0	9	9	0	0	8	3	15	0	0
ADAMTS8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ADAMTS9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
ADAMTSL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL4	11	0	1	0	3	5	4	2	7	2	0	2	0	2	0	0	4	12	3	3
ADAMTSL4-AS1	1	3	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ADAMTSL4-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL5	12	2	0	0	0	5	0	0	8	0	5	0	3	0	0	0	0	18	0	0
ADAP1	22	9	16	0	0	9	24	0	183	0	5	9	11	4	0	0	3	69	0	0
ADAP2	39	12	27	22	0	14	62	0	39	0	0	12	15	5	0	0	0	31	0	4
ADAR	1986	923	781	112	153	980	2370	15	2219	3	450	649	657	203	124	276	53	3155	2	240
ADARB1	203	49	75	18	12	342	861	0	175	0	151	64	43	30	14	47	15	222	0	58
ADARB2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0
ADARB2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	70	42	45	0	19	53	114	2	98	0	24	16	36	9	8	13	2	166	0	6
ADAT2	85	38	22	0	4	34	66	0	130	0	13	27	18	2	5	5	3	84	0	5
ADAT3	60	9	20	0	4	20	26	0	128	0	5	13	26	4	10	8	0	55	0	0
ADCK1	29	20	10	0	0	18	41	0	85	0	1	4	14	3	7	6	2	47	1	0
ADCK2	128	30	51	0	4	20	172	0	392	0	12	31	28	22	9	15	4	184	0	0
ADCK5	104	33	45	8	0	21	100	0	221	0	28	22	25	10	0	8	2	117	0	4
ADCY1	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
ADCY10	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ADCY10P1	34	22	9	0	16	54	188	0	52	0	15	18	12	4	2	26	11	53	0	8
ADCY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY3	157	85	114	5	0	65	203	0	255	1	30	42	59	13	6	5	6	222	0	11
ADCY4	15	3	4	0	0	6	7	4	22	1	0	7	2	0	1	4	0	9	1	0
ADCY5	5	3	0	0	4	2	5	0	0	5	0	0	2	0	0	0	1	3	10	1
ADCY6	91	80	51	0	17	56	32	80	5	40	41	43	52	27	0	65	21	31	52	39
ADCY6-DT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY7	210	119	92	17	37	154	303	5	165	0	59	76	51	13	21	40	15	307	0	3
ADCY8	0	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0
ADCY9	24	8	15	0	0	4	35	0	35	0	8	10	5	7	0	4	2	55	0	1
ADCYAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
ADD1	2159	1087	983	86	143	1178	3084	302	2614	183	468	645	836	371	91	386	217	2449	292	254
ADD2	91	26	24	6	16	90	250	0	240	1	29	39	11	2	11	22	1	181	0	36
ADD3	495	266	141	0	41	343	974	5	261	0	165	224	193	40	31	74	28	661	0	55
ADD3-AS1	1	0	2	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0
ADGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	1	1	0	0	0	0	5	0	3	0	4	1	0	0	0	0	0	6	0	0
ADGRA3	5	1	0	0	0	0	2	0	8	0	0	1	0	0	0	0	0	11	0	0
ADGRB1	56	16	17	0	11	3	9	2	39	5	12	16	14	9	0	6	10	32	8	10
ADGRB2	34	25	15	7	0	0	9	6	4	12	5	17	25	11	0	1	13	33	29	1
ADGRB3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ADGRD1	4	0	2	0	0	10	43	0	0	0	8	1	0	0	0	16	0	3	0	4
ADGRD1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE1	11	0	1	0	0	0	0	0	20	0	0	4	2	1	0	0	0	14	0	0
ADGRE2	5	2	4	0	0	0	4	0	4	0	0	5	1	0	0	4	0	12	0	0
ADGRE3	3	0	1	0	0	4	6	0	5	0	0	1	0	2	0	0	0	0	0	0
ADGRE4P	3	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0
ADGRE5	839	185	284	9	35	111	368	3	1565	0	100	259	198	118	13	21	19	1158	0	30
ADGRF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF3	18	11	10	0	0	10	33	0	22	0	4	7	8	1	7	0	0	21	0	12
ADGRF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF5P1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF5P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG1	60	12	4	0	0	0	0	0	34	0	0	38	9	3	0	0	0	47	0	0
ADGRG2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	2	1	2	0
ADGRG3	3	0	0	0	0	0	0	0	22	0	0	0	0	2	0	0	0	19	0	0
ADGRG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG5	541	225	262	0	0	45	152	0	908	0	20	124	158	11	9	11	2	255	0	4
ADGRG6	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0
ADGRG7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRL1	11	4	7	0	4	6	8	0	7	0	0	5	8	3	0	0	0	12	3	0
ADGRL2	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	3	0	0
ADGRL3	29	29	6	0	0	19	1	10	3	10	18	15	15	10	0	47	5	9	9	7
ADGRL3-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRL4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRV1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ADH1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH1C	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH5	463	182	180	5	37	86	305	4	1075	0	92	121	127	34	0	23	6	579	0	20
ADH5P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH5P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH5P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH5P5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4
ADH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	10	9	0	0	0	6	2	0	11	0	9	9	5	1	0	0	0	7	0	0
ADI1	148	75	52	11	4	30	142	0	263	0	36	28	70	8	6	14	2	193	0	4
ADI1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADI1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADI1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR1	964	476	430	16	95	339	584	273	732	301	160	435	478	282	28	202	238	923	447	156
ADIPOR1P1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR2	77	53	38	4	14	65	103	14	49	8	45	26	49	10	11	5	14	114	15	11
ADIRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIRF-AS1	79	20	17	0	15	9	37	1	65	0	24	9	18	0	9	0	4	26	0	20
ADK	195	110	82	19	16	77	294	25	420	35	41	85	72	26	0	35	14	238	64	20
ADM	243	81	26	6	0	11	45	4	10	0	9	37	95	13	0	0	10	6	0	0
ADM2	80	37	20	6	0	3	9	0	67	0	0	9	17	0	0	0	0	41	0	1
ADM5	15	5	1	0	6	10	11	0	34	0	0	2	7	0	7	0	0	14	0	0
ADNP	916	567	279	34	126	573	927	319	420	247	272	412	393	138	54	366	199	782	314	179
ADNP-AS1	4	4	2	0	0	4	18	0	3	0	6	2	2	0	0	0	0	12	0	0
ADNP2	112	50	45	6	15	44	93	0	116	0	26	34	41	11	7	10	0	259	0	9
ADO	274	81	68	6	12	83	247	16	135	14	47	89	59	18	0	10	3	182	19	3
ADORA1	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADORA2A	5	2	4	0	0	9	17	0	23	0	0	1	5	0	0	0	0	10	0	0
ADORA2A-AS1	8	2	2	0	2	3	2	0	8	0	4	6	6	0	0	1	0	8	0	0
ADORA2B	18	7	8	0	1	4	11	3	23	0	0	2	12	6	0	3	7	10	5	3
ADORA2BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADORA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADPGK	918	443	387	18	92	412	841	183	647	200	135	376	377	206	33	205	194	884	305	167
ADPGK-AS1	10	5	2	0	0	0	7	0	5	0	0	1	3	0	0	0	0	0	0	0
ADPRH	256	90	80	0	14	68	169	1	259	0	64	53	66	15	9	10	6	140	0	22
ADPRHL1	1	2	1	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0
ADPRM	55	19	19	0	5	36	85	0	120	0	4	23	15	12	0	4	0	85	0	9
ADPRS	204	59	96	16	7	77	165	0	591	1	25	56	42	28	4	14	7	332	0	6
ADRA1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRA1B	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADRA1D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ADRA2A	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
ADRA2B	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	3	0	0
ADRA2C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRB1	8	3	1	0	0	0	23	0	0	0	0	4	2	0	0	0	0	1	4	0
ADRB2	52	24	7	0	0	1	12	0	7	0	0	15	21	1	0	0	0	36	0	4
ADRB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRM1	427	155	197	9	6	117	408	0	1601	0	61	91	115	49	8	18	11	637	0	29
ADSL	29	14	7	0	0	2	26	0	55	0	10	7	11	2	0	0	0	29	0	0
ADSS1	895	418	589	34	82	183	111	517	169	467	92	404	417	475	33	179	374	531	603	134
ADSS2	237	136	79	0	9	110	218	27	271	29	48	102	92	34	13	38	9	343	30	24
ADTRP	123	43	11	12	1	12	28	0	103	0	7	32	35	4	0	0	0	85	0	0
AEBP1	347	188	200	41	71	234	363	195	370	102	81	160	167	129	40	131	112	330	117	76
AEBP2	476	334	214	9	56	259	245	295	114	257	104	278	258	114	0	212	165	296	344	113
AEN	336	183	152	11	20	84	194	0	818	0	54	48	111	19	6	8	4	336	0	36
AF001548.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF001548.2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF001548.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF001550.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF001550.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF003529.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF013593.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF015262.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF015720.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF038458.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF038458.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF038458.3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF064858.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AF064858.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF064858.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF064860.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF064860.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF064863.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF064866.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF067845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF067845.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF067845.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF067845.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF096876.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF099810.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF106564.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
AF107885.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF107885.2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AF111167.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF111167.2	25	10	6	0	0	2	9	1	18	0	4	1	5	0	0	0	0	18	0	2
AF111168.1	1	1	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
AF111169.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF111169.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF111169.3	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
AF111169.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AF117829.1	57	29	13	0	0	29	64	0	61	0	12	19	13	6	0	7	0	45	0	1
AF117829.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF121898.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF123462.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF124730.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF127577.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF127577.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF127577.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF127577.4	1	0	0	0	0	3	3	0	6	0	0	2	0	0	0	0	0	0	0	0
AF127577.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF127577.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF127936.1	13	7	5	0	0	0	3	0	0	0	0	1	5	0	0	0	0	6	0	0
AF129075.1	2	1	0	0	0	0	4	0	0	0	0	2	2	0	0	0	0	1	0	0
AF129075.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AF129075.3	13	24	3	0	0	8	14	0	8	0	12	12	10	0	0	4	0	22	0	3
AF129408.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF129408.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF130248.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF130359.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF130417.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131215.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131215.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131215.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131215.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131215.5	9	10	6	0	0	0	3	0	5	0	0	1	3	4	0	0	0	4	0	0
AF131215.6	14	5	7	0	0	0	10	0	15	0	5	5	4	0	0	0	0	6	0	0
AF131215.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131216.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131216.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131216.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131216.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF131216.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF146191.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF165147.1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
AF178030.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF181450.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF186190.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF186192.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF186192.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF186192.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF186996.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF186996.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF186996.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF196969.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF196972.1	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AF196972.2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AF201337.1	4	1	4	0	1	0	4	1	1	0	0	0	0	1	0	1	0	5	0	0
AF212831.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF213884.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF213884.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF213884.3	1	0	2	0	0	0	4	0	3	0	0	0	1	0	0	0	0	0	0	0
AF222684.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF222685.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF228727.1	1	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0
AF228730.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF228730.5	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	0	0
AF228730.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF230666.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3
AF230666.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF233439.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF233439.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF235103.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF235103.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF235103.3	4	3	0	0	0	4	16	0	0	0	0	2	0	0	0	8	1	5	0	4
AF238378.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF240627.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF241725.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF241726.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF241726.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF241728.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AF241728.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AF246928.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF250324.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF254982.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF254983.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF254983.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF274573.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF274853.1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0
AF274858.1	9	1	0	0	0	0	0	0	19	0	0	5	1	1	0	0	0	4	0	0
AF279873.1	1	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0
AF279873.2	1	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
AF279873.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF279873.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF287957.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF305872.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFAP1	6	0	1	0	0	0	0	0	3	0	0	6	0	0	0	0	0	11	0	0
AFAP1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
AFAP1L1	4	0	1	0	0	0	0	0	4	0	0	0	1	2	0	0	0	7	0	0
