	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock	P02_wt	P05_wt	P08_wt	P11_wt	P13_wt	P16_wt	P18_wt	P21_wt	P24_wt	P27_wt	P30_wt
AC097460.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097460.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097462.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097462.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097462.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097463.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097467.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097467.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097467.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097467.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097468.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097468.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097468.3	0	0	0	0	0	3	6	0	0	3	1	0	0	0	0	3	0	0	0	0
AC097473.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097474.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097478.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097478.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097478.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097478.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097480.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097480.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097484.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097484.2	3	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0
AC097486.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097487.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097488.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097491.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097493.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097493.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097493.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097499.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097499.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097500.1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC097501.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097504.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097504.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097510.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097511.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097512.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097517.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097518.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097518.2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097520.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097520.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097521.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097522.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097522.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097526.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097527.1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097528.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097532.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097532.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097532.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097533.1	14	12	5	0	0	8	13	16	8	15	5	2	0	6	7	2	5	5	20	9
AC097534.1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AC097535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097535.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097537.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097625.1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0
AC097634.1	1	0	0	7	0	0	4	0	8	10	0	0	0	0	0	12	0	2	0	0
AC097634.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097634.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097634.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097636.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097637.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097637.2	8	1	2	0	0	0	14	0	3	6	0	4	0	0	4	0	2	19	0	0
AC097637.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097638.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AC097639.1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
AC097639.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097641.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097641.2	2	0	0	0	0	0	2	0	0	1	0	2	0	0	0	0	0	3	0	0
AC097652.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097654.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097655.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097658.1	4	6	3	1	2	1	14	0	1	11	4	0	3	0	2	0	1	35	2	0
AC097658.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097658.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097709.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097713.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097713.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097714.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097716.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC097717.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AC097724.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098476.1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AC098479.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0
AC098483.1	2	1	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	8	0	0
AC098483.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098484.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098484.2	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	5	0	0
AC098484.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098484.4	15	15	1	0	4	0	35	0	5	46	4	3	0	0	0	20	3	65	0	0
AC098487.1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0
AC098582.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098583.1	1	1	0	0	0	0	0	0	0	2	5	1	1	0	0	0	0	0	0	1
AC098583.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098587.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098588.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098588.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098588.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098590.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC098590.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098591.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098591.2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098591.3	2	0	1	0	1	2	1	1	0	5	2	1	1	0	1	0	0	0	1	0
AC098592.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098592.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098595.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098614.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098614.2	1	3	0	0	0	0	15	0	0	4	2	0	0	0	0	0	0	12	0	0
AC098649.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098650.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098656.1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AC098657.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098657.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098657.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098679.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098679.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098679.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098679.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098679.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098680.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098680.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098798.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098799.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098799.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098799.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098817.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098818.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098818.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098818.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098820.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098820.2	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0
AC098825.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098826.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098826.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098826.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098827.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098828.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098831.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098847.1	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0
AC098848.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098850.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098850.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098850.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098850.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098851.1	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
AC098859.1	0	1	0	0	0	0	5	0	0	2	1	0	0	0	0	0	0	3	0	0
AC098859.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098862.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098868.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098869.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098869.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098872.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098872.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098934.1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
AC098934.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	3	0	0
AC098934.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
AC098935.1	1	1	0	0	0	1	7	0	0	7	1	0	0	4	0	0	0	5	0	0
AC098935.2	8	1	0	0	0	0	4	0	4	12	3	0	0	0	3	18	0	1	0	0
AC098965.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098969.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC098969.2	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
AC098976.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099050.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC099063.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099063.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099063.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099063.4	4	0	4	0	0	0	7	0	0	2	0	1	0	0	0	0	0	7	0	0
AC099066.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099066.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099066.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099313.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099314.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099328.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099328.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099329.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099329.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099331.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099332.1	3	4	0	0	0	0	1	0	0	2	3	0	0	0	0	0	0	0	0	0
AC099332.2	0	6	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	8	0	0
AC099335.1	3	1	1	1	0	1	0	3	0	1	0	1	0	1	0	1	1	1	3	0
AC099336.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099336.2	125	155	116	23	57	96	111	78	89	157	148	93	22	49	36	65	133	107	114	53
AC099340.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
AC099342.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099343.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099343.2	8	4	4	0	0	0	10	0	5	19	1	2	0	0	0	0	0	18	0	0
AC099343.3	13	25	4	0	7	4	31	0	0	28	13	6	0	4	0	17	0	45	0	0
AC099343.4	1	2	3	9	0	0	2	0	0	5	0	2	0	0	6	3	0	12	0	0
AC099344.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099344.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099344.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099398.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099482.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099482.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099487.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099487.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099489.1	6	7	2	0	4	1	35	1	16	15	2	4	0	0	4	17	0	38	0	3
AC099489.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099489.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099494.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099494.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099494.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099499.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099499.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099501.1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099506.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099506.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099506.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099508.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099508.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099509.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099509.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099511.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099513.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC099517.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099518.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099518.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099518.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099518.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099518.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099518.6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC099520.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099520.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099521.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099521.2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0
AC099521.3	0	1	0	0	0	0	3	0	0	2	1	2	0	0	0	0	0	4	0	0
AC099521.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099522.1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
AC099522.2	2	0	0	0	0	0	5	0	0	2	1	0	0	0	0	0	0	3	0	0
AC099524.1	11	18	2	6	1	0	30	0	2	38	13	6	0	0	8	18	2	31	0	1
AC099535.1	3	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AC099535.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099537.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099541.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099541.2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0
AC099542.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099542.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099548.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099548.2	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	8	0	0
AC099550.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099552.1	0	1	1	0	0	0	9	0	0	2	0	0	0	0	0	0	0	22	0	0
AC099552.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099552.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099552.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099552.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099554.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099560.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099560.2	1341	1485	1510	123	787	1091	1357	1225	685	1589	1404	1323	123	454	502	402	1765	1183	1476	655
AC099563.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099563.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099565.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099567.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099568.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099568.2	0	1	1	0	0	0	8	0	0	8	1	0	0	0	0	4	0	18	0	0
AC099654.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.2	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
AC099654.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099654.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099661.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AC099667.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099668.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099669.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099670.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099670.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099670.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099671.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099677.1	0	1	0	0	4	0	1	0	0	2	2	1	0	0	4	7	0	10	0	0
AC099677.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099677.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099677.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099677.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099677.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099681.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0
AC099681.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099681.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC099684.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC099684.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
